Gold+,XP+,CS+,KP%,VSPM,NetCombat,FB_Impact,P_GD15,T_GD15,playername,position,LIBR,CarrierBonus
108.1,101.5,103.7,69.3,1.4,0.74,0.107,302.11764705882354,928.4,Gumayusi,bot,4.28,0.12
107.0,101.5,103.3,68.0,1.62,0.55,0.089,277.2477064220183,1078.8,Chovy,mid,4.23,0.06
107.8,104.3,101.8,68.9,1.47,0.87,0.197,221.72566371681415,534.0,Aiming,bot,4.17,0.11
104.5,103.4,103.8,69.0,1.81,1.11,0.259,255.14772727272728,870.6,Canyon,jng,2.88,0.08
104.3,102.6,103.3,63.2,1.22,0.67,0.114,127.69158878504673,24.7,Zeka,mid,2.71,0.12
117.9,102.0,100.2,75.0,3.13,1.47,0.102,243.85714285714286,928.4,Keria,sup,2.67,0.06
109.3,103.5,111.9,74.6,3.28,1.28,0.133,141.1559633027523,1078.8,Delight,sup,2.37,-0.07
105.2,100.9,100.8,69.8,1.43,0.74,0.287,174.03669724770643,1078.8,Peyz,bot,2.31,-0.04
104.7,102.7,101.8,69.1,1.72,1.01,0.385,209.62385321100916,1078.8,Peanut,jng,2.26,-0.01
103.9,101.0,100.1,70.7,1.47,0.92,0.159,306.5764705882353,936.5,Deft,bot,2.24,0.12
103.9,101.9,101.4,55.2,1.13,0.27,0.082,207.50442477876106,534.0,Kiin,top,2.13,0.1
105.0,100.7,101.6,55.6,1.12,0.16,-0.077,256.2268907563025,928.4,Zeus,top,1.94,0.07
104.8,99.2,76.1,76.9,3.25,1.37,0.247,151.33333333333334,901.3,Kellin,sup,1.58,-0.03
104.9,99.0,96.3,74.0,1.81,1.11,0.302,126.01680672268908,928.4,Oner,jng,1.57,-0.06
105.2,99.5,98.8,56.8,1.08,0.32,-0.014,276.70642201834863,1078.8,Doran,top,1.51,0.06
102.0,101.3,102.0,72.3,1.94,1.04,0.235,54.32743362831859,534.0,Cuzz,jng,1.47,-0.05
102.3,99.5,98.9,67.8,1.1,0.9,0.124,128.64601769911505,534.0,Bdd,mid,1.25,0.02
102.2,101.2,103.2,56.7,0.99,-0.05,-0.033,133.83132530120483,-167.6,DuDu,top,1.15,0.17
96.4,102.3,135.3,61.9,3.28,1.12,-0.115,55.23076923076923,693.8,Bible,sup,1.06,-0.08
103.1,106.6,81.0,68.8,3.4,0.71,-0.077,30.404761904761905,362.1,Jun,sup,1.03,-0.04
101.8,100.5,100.8,51.8,1.08,0.2,-0.023,153.76136363636363,870.6,Canna,top,0.95,-0.02
99.6,100.0,101.4,67.1,1.52,0.74,0.068,93.37383177570094,24.7,Viper,bot,0.66,0.09
100.3,101.6,102.8,62.2,1.07,0.41,0.041,52.34444444444444,-609.1,Clozer,mid,0.66,0.17
98.3,102.3,102.7,64.3,1.57,0.55,0.15,-131.71794871794873,-840.7,Teddy,bot,0.47,0.04
100.7,100.2,100.3,62.7,1.31,0.44,0.057,41.67045454545455,870.6,ShowMaker,mid,0.43,-0.13
98.9,100.2,102.3,51.5,1.18,0.01,0.028,-51.80898876404494,-277.1,Morgan,top,0.15,0.0
100.1,99.6,101.7,72.2,1.82,0.85,0.145,-20.44578313253012,-167.6,YoungJae,jng,0.12,0.01
96.0,96.9,94.6,71.2,3.36,0.84,0.135,-37.333333333333336,-609.1,Kael,sup,0.03,0.08
101.1,101.1,101.1,68.9,1.42,1.02,0.014,38.457142857142856,194.1,Grizzly,jng,-0.04,-0.0
100.5,101.9,99.9,72.2,1.27,0.36,0.104,-293.8611111111111,-1121.2,Jiwoo,bot,-0.3,-0.07
97.1,99.1,98.8,65.4,1.97,0.68,0.198,-15.333333333333334,-57.6,Clid,jng,-0.47,-0.0
99.4,100.3,100.0,64.3,1.15,0.22,0.027,-38.36144578313253,-167.6,BuLLDoG,mid,-0.68,-0.0
98.4,101.1,102.8,68.1,1.9,0.73,0.137,-212.42222222222222,-609.1,Willer,jng,-0.78,-0.09
95.6,99.4,101.3,77.1,1.82,0.78,0.152,-61.48314606741573,-277.1,UmTi,jng,-0.88,-0.01
95.0,98.7,105.9,69.5,3.01,1.27,-0.009,-78.22123893805309,534.0,Lehends,sup,-0.9,-0.19
91.9,94.6,105.1,68.5,3.27,0.69,0.073,-31.98876404494382,-277.1,Effort,sup,-1.04,0.02
100.0,98.3,96.5,62.5,1.13,0.33,0.044,34.603960396039604,1207.0,Faker,mid,-1.12,-0.21
94.8,98.0,90.6,70.3,3.15,0.86,0.0,-74.48598130841121,24.7,Life,sup,-1.18,-0.08
96.1,99.7,98.5,50.9,1.08,0.2,0.019,-124.10280373831776,24.7,Kingen,top,-1.2,-0.13
95.5,100.5,97.9,49.2,0.92,0.31,-0.088,-104.9375,-121.8,Clear,top,-1.34,-0.08
99.8,97.7,97.5,56.9,1.05,0.04,-0.036,-177.83333333333334,-1281.5,Rascal,top,-1.42,0.08
96.5,97.6,97.0,62.6,1.27,0.43,0.069,-119.3623188405797,-1476.7,FIESTA,mid,-1.61,0.18
91.1,99.0,97.2,74.9,2.92,1.22,0.082,-205.6705882352941,-1491.5,Peter,sup,-1.64,0.09
96.9,101.8,111.4,65.4,3.14,0.23,-0.075,-118.47777777777777,-1281.5,BeryL,sup,-1.66,0.14
96.8,98.0,97.3,69.4,1.75,0.74,0.068,-195.88235294117646,-1491.5,Sylvie,jng,-1.7,0.1
90.1,108.6,133.3,64.9,2.83,0.25,-0.125,-19.9,-876.8,Andil,sup,-2.09,0.16
95.1,100.4,100.2,66.3,1.05,0.34,-0.013,-216.79746835443038,-1052.3,Karis,mid,-2.26,-0.01
96.9,99.0,99.0,64.5,1.1,-0.03,0.153,-193.27777777777777,-635.2,Poby,mid,-2.49,-0.07
93.7,100.4,98.8,63.6,1.11,0.24,0.113,-20.372549019607842,-431.9,Envyy,bot,-2.49,0.07
95.1,98.3,98.3,60.4,1.15,0.35,0.006,-210.60493827160494,-1105.2,FATE,mid,-2.5,0.01
93.5,99.3,99.3,64.0,1.4,0.57,0.25,-250.17977528089887,-277.1,Hena,bot,-2.73,-0.19
93.1,99.9,99.2,46.5,1.06,-0.08,0.003,-394.52702702702703,-714.4,Burdol,top,-2.73,-0.25
94.7,96.2,97.0,68.2,1.86,0.28,-0.174,-129.54545454545453,-1227.2,Juhan,jng,-2.81,0.12
95.4,95.5,98.5,66.1,1.41,0.12,0.012,-174.710843373494,-167.6,Taeyoon,bot,-3.16,-0.14
91.6,100.2,85.4,73.6,3.04,0.31,-0.238,-310.3333333333333,-551.6,Moham,sup,-3.67,-0.2
90.3,97.9,96.7,49.0,1.09,-0.16,-0.144,-524.9529411764706,-1491.5,DnDn,top,-4.35,-0.23
93.2,96.6,96.6,61.2,1.26,0.12,0.076,-333.8478260869565,-1031.8,Paduck,bot,-4.42,-0.13
89.7,94.3,91.7,70.5,1.63,0.48,0.075,-345.5263157894737,-1312.9,Croco,jng,-4.84,-0.08
92.1,100.5,100.2,53.6,1.15,-0.05,0.05,-644.9,-388.1,Ivory,mid,-5.12,-0.57
90.4,95.7,95.6,61.6,1.24,0.44,0.128,-423.0204081632653,-1763.5,vital,bot,-5.47,-0.07
87.4,95.4,91.8,60.0,1.34,0.2,-0.211,-549.1578947368421,-1569.1,deokdam,bot,-7.92,-0.24
84.6,94.2,91.6,58.7,1.19,-0.12,-0.042,-427.1666666666667,-957.0,Quad,mid,-8.04,-0.24
80.3,92.9,91.1,56.5,1.22,-0.11,-0.333,-795.4444444444445,-2867.8,kyeahoo,mid,-10.42,-0.22
81.2,90.5,88.5,70.2,1.03,0.33,0.25,-708.8333333333334,-1373.8,Pleata,bot,-11.74,-0.43
